Kód obce,Obec,ORP,Okres,Kraj,Extent
577570,Syřenov,Semily,Semily,Liberecký kraj,"POLYGON((-668146.37 -1008854.12,-668146.37 -1005380.15,-663892.05 -1005380.15,-663892.05 -1008854.12,-668146.37 -1008854.12))"
598771,Syrov,Humpolec,Pelhřimov,Kraj Vysočina,"POLYGON((-698211.73 -1107539.92,-698211.73 -1104612.78,-695219.8 -1104612.78,-695219.8 -1107539.92,-698211.73 -1107539.92))"
571008,Syrovátka,Hradec Králové,Hradec Králové,Královéhradecký kraj,"POLYGON((-654510.76 -1047648.53,-654510.76 -1045666.23,-652847 -1045666.23,-652847 -1047648.53,-654510.76 -1047648.53))"
583936,Syrovice,Židlochovice,Brno-venkov,Jihomoravský kraj,"POLYGON((-605557.62 -1174478.2,-605557.62 -1171100.95,-601639.01 -1171100.95,-601639.01 -1174478.2,-605557.62 -1174478.2))"
586633,Syrovín,Kyjov,Hodonín,Jihomoravský kraj,"POLYGON((-553505.83 -1186432.89,-553505.83 -1183473.78,-551246.81 -1183473.78,-551246.81 -1186432.89,-553505.83 -1186432.89))"
557081,Sytno,Stříbro,Tachov,Plzeňský kraj,"POLYGON((-848101.12 -1068452.41,-848101.12 -1065538.8,-845139.01 -1065538.8,-845139.01 -1068452.41,-848101.12 -1068452.41))"
552046,Tábor,Tábor,Tábor,Jihočeský kraj,"POLYGON((-739756.59 -1123326.43,-739756.59 -1114992.68,-728272.79 -1114992.68,-728272.79 -1123326.43,-739756.59 -1123326.43))"
531821,Tachlovice,Černošice,Praha-západ,Středočeský kraj,"POLYGON((-758753.62 -1052439.17,-758753.62 -1048542.29,-755235.16 -1048542.29,-755235.16 -1052439.17,-758753.62 -1052439.17))"
553638,Tachov,Česká Lípa,Česká Lípa,Liberecký kraj,"POLYGON((-722476.15 -997008.08,-722476.15 -993653.56,-719775.16 -993653.56,-719775.16 -997008.08,-722476.15 -997008.08))"
560715,Tachov,Tachov,Tachov,Plzeňský kraj,"POLYGON((-879654.75 -1060364.52,-879654.75 -1051582.14,-869013.33 -1051582.14,-869013.33 -1060364.52,-879654.75 -1060364.52))"
549932,Tálín,Písek,Písek,Jihočeský kraj,"POLYGON((-771381.82 -1134243.07,-771381.82 -1131995.43,-768123.92 -1131995.43,-768123.92 -1134243.07,-771381.82 -1134243.07))"
563820,Tanvald,Tanvald,Jablonec nad Nisou,Liberecký kraj,"POLYGON((-673965.06 -980866.76,-673965.06 -976563.85,-668125.21 -976563.85,-668125.21 -980866.76,-673965.06 -980866.76))"
591831,Tasov,Velké Meziříčí,Žďár nad Sázavou,Kraj Vysočina,"POLYGON((-635909.23 -1149248.8,-635909.23 -1143609.52,-631335.88 -1143609.52,-631335.88 -1149248.8,-635909.23 -1149248.8))"
586650,Tasov,Veselí nad Moravou,Hodonín,Jihomoravský kraj,"POLYGON((-542108.11 -1203184.91,-542108.11 -1198344.45,-539237.31 -1198344.45,-539237.31 -1203184.91,-542108.11 -1203184.91))"
568287,Tašov,Ústí nad Labem,Ústí nad Labem,Ústecký kraj,"POLYGON((-755939.69 -983286.98,-755939.69 -981310.49,-753138.68 -981310.49,-753138.68 -983286.98,-755939.69 -983286.98))"
582506,Tasovice,Boskovice,Blansko,Jihomoravský kraj,"POLYGON((-607830.03 -1127201.55,-607830.03 -1125075.61,-605421.33 -1125075.61,-605421.33 -1127201.55,-607830.03 -1127201.55))"
594920,Tasovice,Znojmo,Znojmo,Jihomoravský kraj,"POLYGON((-638402.42 -1199842.14,-638402.42 -1193687.53,-632605.28 -1193687.53,-632605.28 -1199842.14,-638402.42 -1199842.14))"
537888,Tatce,Kolín,Kolín,Středočeský kraj,"POLYGON((-704678.78 -1049348.72,-704678.78 -1046167.26,-701760.2 -1046167.26,-701760.2 -1049348.72,-704678.78 -1049348.72))"
581046,Tatenice,Lanškroun,Ústí nad Orlicí,Pardubický kraj,"POLYGON((-586532.07 -1089769.36,-586532.07 -1083360.13,-578526.4 -1083360.13,-578526.4 -1089769.36,-586532.07 -1089769.36))"
578983,Tatiná,Nýřany,Plzeň-sever,Plzeňský kraj,"POLYGON((-827874.23 -1058655.27,-827874.23 -1055670.22,-824869.37 -1055670.22,-824869.37 -1058655.27,-827874.23 -1058655.27))"
577596,Tatobity,Turnov,Semily,Liberecký kraj,"POLYGON((-676795.69 -999728.92,-676795.69 -996396.99,-672704.75 -996396.99,-672704.75 -999728.92,-676795.69 -999728.92))"
538663,Tatrovice,Sokolov,Sokolov,Karlovarský kraj,"POLYGON((-863677.21 -1005942.24,-863677.21 -1001701.99,-859595.17 -1001701.99,-859595.17 -1005942.24,-863677.21 -1005942.24))"
594938,Tavíkovice,Moravský Krumlov,Znojmo,Jihomoravský kraj,"POLYGON((-640115.81 -1176705.29,-640115.81 -1173690.6,-634936.54 -1173690.6,-634936.54 -1176705.29,-640115.81 -1176705.29))"
536598,Tchořovice,Blatná,Strakonice,Jihočeský kraj,"POLYGON((-798160.1 -1111934.44,-798160.1 -1106407.65,-794214.33 -1106407.65,-794214.33 -1111934.44,-798160.1 -1111934.44))"
529664,Těchařovice,Příbram,Příbram,Středočeský kraj,"POLYGON((-778209.85 -1094926.55,-778209.85 -1092452.2,-775419.78 -1092452.2,-775419.78 -1094926.55,-778209.85 -1094926.55))"
555193,Těchlovice,Děčín,Děčín,Ústecký kraj,"POLYGON((-749759.67 -976599.15,-749759.67 -971559.77,-746221.49 -971559.77,-746221.49 -976599.15,-749759.67 -976599.15))"
571024,Těchlovice,Hradec Králové,Hradec Králové,Královéhradecký kraj,"POLYGON((-650502.6 -1042924.12,-650502.6 -1040130.5,-648305.1 -1040130.5,-648305.1 -1042924.12,-650502.6 -1042924.12))"
561355,Těchobuz,Pacov,Pelhřimov,Kraj Vysočina,"POLYGON((-717044.67 -1112587.27,-717044.67 -1109787.47,-712867.9 -1109787.47,-712867.9 -1112587.27,-717044.67 -1112587.27))"
581054,Těchonín,Žamberk,Ústí nad Orlicí,Pardubický kraj,"POLYGON((-588677.62 -1066593.52,-588677.62 -1061636.29,-582199.78 -1061636.29,-582199.78 -1066593.52,-588677.62 -1066593.52))"
549649,Tečovice,Zlín,Zlín,Zlínský kraj,"POLYGON((-529294.65 -1166395.87,-529294.65 -1163246.79,-525478.41 -1163246.79,-525478.41 -1166395.87,-529294.65 -1166395.87))"
538892,Tehov,Říčany,Praha-východ,Středočeský kraj,"POLYGON((-726672.9 -1059991.81,-726672.9 -1055830.42,-722409.92 -1055830.42,-722409.92 -1059991.81,-726672.9 -1059991.81))"
530751,Tehov,Vlašim,Benešov,Středočeský kraj,"POLYGON((-712753.98 -1089215.3,-712753.98 -1084435.33,-707523.14 -1084435.33,-707523.14 -1089215.3,-712753.98 -1089215.3))"
599719,Tehovec,Říčany,Praha-východ,Středočeský kraj,"POLYGON((-724118.07 -1058811.22,-724118.07 -1055658.17,-721883.44 -1055658.17,-721883.44 -1058811.22,-724118.07 -1058811.22))"
