Kód obce,Obec,ORP,Okres,Kraj,Extent
554979,Abertamy,Ostrov,Karlovy Vary,Karlovarský kraj,"POLYGON((-852110.52 -997028,-852110.52 -991955.59,-848530.42 -991955.59,-848530.42 -997028,-852110.52 -997028))"
581291,Adamov,Blansko,Blansko,Jihomoravský kraj,"POLYGON((-594524.24 -1151316.28,-594524.24 -1147891.82,-590763.18 -1147891.82,-590763.18 -1151316.28,-594524.24 -1151316.28))"
531367,Adamov,Čáslav,Kutná Hora,Středočeský kraj,"POLYGON((-677781.31 -1079038.62,-677781.31 -1076855.39,-675371.98 -1076855.39,-675371.98 -1079038.62,-677781.31 -1079038.62))"
535826,Adamov,České Budějovice,České Budějovice,Jihočeský kraj,"POLYGON((-751027.57 -1164217.46,-751027.57 -1162820.89,-748760.59 -1162820.89,-748760.59 -1164217.46,-751027.57 -1164217.46))"
547786,Adršpach,Broumov,Náchod,Královéhradecký kraj,"POLYGON((-620210.19 -1001989.66,-620210.19 -996037.66,-613483.71 -996037.66,-613483.71 -1001989.66,-620210.19 -1001989.66))"
598925,Albrechtice,Havířov,Karviná,Moravskoslezský kraj,"POLYGON((-455999.49 -1110721.74,-455999.49 -1106939.14,-451098.4 -1106939.14,-451098.4 -1110721.74,-455999.49 -1110721.74))"
547981,Albrechtice,Lanškroun,Ústí nad Orlicí,Pardubický kraj,"POLYGON((-587497.73 -1083274.99,-587497.73 -1077983.29,-584029.39 -1077983.29,-584029.39 -1083274.99,-587497.73 -1083274.99))"
576077,Albrechtice nad Orlicí,Kostelec nad Orlicí,Rychnov nad Kněžnou,Královéhradecký kraj,"POLYGON((-629464.66 -1052856.37,-629464.66 -1050805.67,-624907.32 -1050805.67,-624907.32 -1052856.37,-629464.66 -1052856.37))"
549258,Albrechtice nad Vltavou,Písek,Písek,Jihočeský kraj,"POLYGON((-766179.39 -1136879.31,-766179.39 -1124102.62,-759553.3 -1124102.62,-759553.3 -1136879.31,-766179.39 -1136879.31))"
563528,Albrechtice v Jizerských horách,Tanvald,Jablonec nad Nisou,Liberecký kraj,"POLYGON((-675008.94 -977377.22,-675008.94 -968961.08,-669757.95 -968961.08,-669757.95 -977377.22,-675008.94 -977377.22))"
568741,Albrechtičky,Bílovec,Nový Jičín,Moravskoslezský kraj,"POLYGON((-486098.4 -1116332.54,-486098.4 -1113754.37,-483499.51 -1113754.37,-483499.51 -1116332.54,-486098.4 -1116332.54))"
506761,Alojzov,Prostějov,Prostějov,Olomoucký kraj,"POLYGON((-565507.01 -1140098.53,-565507.01 -1137357.08,-562718.43 -1137357.08,-562718.43 -1140098.53,-565507.01 -1140098.53))"
551929,Andělská Hora,Bruntál,Bruntál,Moravskoslezský kraj,"POLYGON((-535461.14 -1071259.29,-535461.14 -1064106.75,-530390.5 -1064106.75,-530390.5 -1071259.29,-535461.14 -1071259.29))"
538001,Andělská Hora,Karlovy Vary,Karlovy Vary,Karlovarský kraj,"POLYGON((-845862.51 -1016766.3,-845862.51 -1012931.53,-842403.57 -1012931.53,-842403.57 -1016766.3,-845862.51 -1016766.3))"
573426,Anenská Studánka,Lanškroun,Ústí nad Orlicí,Pardubický kraj,"POLYGON((-596015.52 -1091462.93,-596015.52 -1086402.41,-593401.48 -1086402.41,-593401.48 -1091462.93,-596015.52 -1091462.93))"
586030,Archlebov,Kyjov,Hodonín,Jihomoravský kraj,"POLYGON((-573145.16 -1182808.4,-573145.16 -1175739.34,-569942.3 -1175739.34,-569942.3 -1182808.4,-573145.16 -1182808.4))"
509388,Arneštovice,Pelhřimov,Pelhřimov,Kraj Vysočina,"POLYGON((-702498.37 -1112106.63,-702498.37 -1109606,-699478.89 -1109606,-699478.89 -1112106.63,-702498.37 -1112106.63))"
586854,Arnolec,Jihlava,Jihlava,Kraj Vysočina,"POLYGON((-654801.45 -1129030.37,-654801.45 -1125243.43,-649236.22 -1125243.43,-649236.22 -1129030.37,-654801.45 -1129030.37))"
562343,Arnoltice,Děčín,Děčín,Ústecký kraj,"POLYGON((-744542 -960446.01,-744542 -956808.49,-741640.78 -956808.49,-741640.78 -960446.01,-744542 -960446.01))"
554499,Aš,Aš,Cheb,Karlovarský kraj,"POLYGON((-900563.48 -1011089.88,-900563.48 -998520.67,-890859.82 -998520.67,-890859.82 -1011089.88,-900563.48 -1011089.88))"
590274,Babice,Moravské Budějovice,Třebíč,Kraj Vysočina,"POLYGON((-662743.12 -1163503.68,-662743.12 -1157781.87,-658343.01 -1157781.87,-658343.01 -1163503.68,-662743.12 -1163503.68))"
569828,Babice,Nový Bydžov,Hradec Králové,Královéhradecký kraj,"POLYGON((-659219.69 -1043147.44,-659219.69 -1040469.76,-657215.24 -1040469.76,-657215.24 -1043147.44,-659219.69 -1043147.44))"
537241,Babice,Prachatice,Prachatice,Jihočeský kraj,"POLYGON((-774152.29 -1159115.64,-774152.29 -1156210.39,-770987.97 -1156210.39,-770987.97 -1159115.64,-774152.29 -1159115.64))"
538043,Babice,Říčany,Praha-východ,Středočeský kraj,"POLYGON((-723983.71 -1056749.79,-723983.71 -1053147.53,-720920.27 -1053147.53,-720920.27 -1056749.79,-723983.71 -1056749.79))"
552356,Babice,Šternberk,Olomouc,Olomoucký kraj,"POLYGON((-546496.59 -1106570.02,-546496.59 -1103469.07,-542704.77 -1103469.07,-542704.77 -1106570.02,-546496.59 -1106570.02))"
592013,Babice,Uherské Hradiště,Uherské Hradiště,Zlínský kraj,"POLYGON((-537068.17 -1176840.33,-537068.17 -1172401.06,-534055.96 -1172401.06,-534055.96 -1176840.33,-537068.17 -1176840.33))"
582794,Babice nad Svitavou,Šlapanice,Brno-venkov,Jihomoravský kraj,"POLYGON((-593342.16 -1154763.91,-593342.16 -1148415.15,-588358.36 -1148415.15,-588358.36 -1154763.91,-593342.16 -1154763.91))"
582808,Babice u Rosic,Rosice,Brno-venkov,Jihomoravský kraj,"POLYGON((-618335.12 -1162603.36,-618335.12 -1159198.68,-615462.89 -1159198.68,-615462.89 -1162603.36,-618335.12 -1162603.36))"
553433,Babylon,Domažlice,Domažlice,Plzeňský kraj,"POLYGON((-868531.41 -1104394.94,-868531.41 -1100311.43,-863808.5 -1100311.43,-863808.5 -1104394.94,-868531.41 -1104394.94))"
553701,Bačalky,Jičín,Jičín,Královéhradecký kraj,"POLYGON((-687686.23 -1019040.37,-687686.23 -1015494.84,-683751.22 -1015494.84,-683751.22 -1019040.37,-687686.23 -1019040.37))"
576085,Bačetín,Dobruška,Rychnov nad Kněžnou,Královéhradecký kraj,"POLYGON((-613544.44 -1037967.24,-613544.44 -1034292.68,-609387.9 -1034292.68,-609387.9 -1037967.24,-613544.44 -1037967.24))"
590282,Bačice,Třebíč,Třebíč,Kraj Vysočina,"POLYGON((-643985.15 -1169773.55,-643985.15 -1167038.19,-640240.11 -1167038.19,-640240.11 -1169773.55,-643985.15 -1169773.55))"
546194,Bačkov,Havlíčkův Brod,Havlíčkův Brod,Kraj Vysočina,"POLYGON((-674516.53 -1092795.79,-674516.53 -1090103.04,-672411.17 -1090103.04,-672411.17 -1092795.79,-674516.53 -1092795.79))"
544833,Bačkovice,Moravské Budějovice,Třebíč,Kraj Vysočina,"POLYGON((-676805.84 -1179646.13,-676805.84 -1175288.21,-673846.26 -1175288.21,-673846.26 -1179646.13,-676805.84 -1179646.13))"
561118,Bácovice,Pelhřimov,Pelhřimov,Kraj Vysočina,"POLYGON((-699530.4 -1118736.72,-699530.4 -1115655.3,-697340.51 -1115655.3,-697340.51 -1118736.72,-699530.4 -1118736.72))"
535427,Bakov nad Jizerou,Mladá Boleslav,Mladá Boleslav,Středočeský kraj,"POLYGON((-704144.59 -1008711.7,-704144.59 -1000320.22,-695621.77 -1000320.22,-695621.77 -1008711.7,-704144.59 -1008711.7))"
595217,Baliny,Velké Meziříčí,Žďár nad Sázavou,Kraj Vysočina,"POLYGON((-644886.04 -1141608.53,-644886.04 -1138018.6,-642152.36 -1138018.6,-642152.36 -1141608.53,-644886.04 -1141608.53))"
563251,Balkova Lhota,Tábor,Tábor,Jihočeský kraj,"POLYGON((-740797.2 -1116329.63,-740797.2 -1113792.28,-738492.42 -1113792.28,-738492.42 -1116329.63,-740797.2 -1116329.63))"
572560,Banín,Svitavy,Svitavy,Pardubický kraj,"POLYGON((-607335.76 -1109589.21,-607335.76 -1105605.19,-601268.67 -1105605.19,-601268.67 -1109589.21,-607335.76 -1109589.21))"
592021,Bánov,Uherský Brod,Uherské Hradiště,Zlínský kraj,"POLYGON((-521939.16 -1197856.73,-521939.16 -1189550.71,-516426.49 -1189550.71,-516426.49 -1197856.73,-521939.16 -1197856.73))"
562726,Báňovice,Dačice,Jindřichův Hradec,Jihočeský kraj,"POLYGON((-682890.03 -1172467.01,-682890.03 -1169971.95,-679899.31 -1169971.95,-679899.31 -1172467.01,-682890.03 -1172467.01))"
593729,Bantice,Znojmo,Znojmo,Jihomoravský kraj,"POLYGON((-634640.06 -1194469.47,-634640.06 -1190517.85,-632233.13 -1190517.85,-632233.13 -1194469.47,-634640.06 -1194469.47))"
569836,Barchov,Nový Bydžov,Hradec Králové,Královéhradecký kraj,"POLYGON((-661174.56 -1042293.66,-661174.56 -1039224.29,-658145.24 -1039224.29,-658145.24 -1042293.66,-661174.56 -1042293.66))"
574724,Barchov,Pardubice,Pardubice,Pardubický kraj,"POLYGON((-656385.19 -1065269.55,-656385.19 -1062626.62,-652977.07 -1062626.62,-652977.07 -1065269.55,-656385.19 -1065269.55))"
533173,Barchovice,Kolín,Kolín,Středočeský kraj,"POLYGON((-712001.54 -1066696.85,-712001.54 -1062497.98,-704246.13 -1062497.98,-704246.13 -1066696.85,-712001.54 -1066696.85))"
588300,Bařice-Velké Těšany,Kroměříž,Kroměříž,Zlínský kraj,"POLYGON((-541350.79 -1162694.15,-541350.79 -1159724.98,-537540.13 -1159724.98,-537540.13 -1162694.15,-541350.79 -1162694.15))"
599212,Bartošovice,Nový Jičín,Nový Jičín,Moravskoslezský kraj,"POLYGON((-492499.15 -1122843.35,-492499.15 -1115755.62,-486511.84 -1115755.62,-486511.84 -1122843.35,-492499.15 -1122843.35))"
576093,Bartošovice v Orlických horách,Rychnov nad Kněžnou,Rychnov nad Kněžnou,Královéhradecký kraj,"POLYGON((-594106.83 -1056126.7,-594106.83 -1043313.34,-588320.75 -1043313.34,-588320.75 -1056126.7,-594106.83 -1056126.7))"
548260,Bartoušov,Havlíčkův Brod,Havlíčkův Brod,Kraj Vysočina,"POLYGON((-663936.56 -1113039.8,-663936.56 -1108618.68,-661726.73 -1108618.68,-661726.73 -1113039.8,-663936.56 -1113039.8))"
598011,Baška,Frýdek-Místek,Frýdek-Místek,Moravskoslezský kraj,"POLYGON((-469087.13 -1126077.49,-469087.13 -1121740.25,-464300.67 -1121740.25,-464300.67 -1126077.49,-469087.13 -1126077.49))"
572667,Bašnice,Hořice,Jičín,Královéhradecký kraj,"POLYGON((-657750.22 -1029166.48,-657750.22 -1025310.83,-654176.87 -1025310.83,-654176.87 -1029166.48,-657750.22 -1029166.48))"
538051,Bašť,Brandýs nad Labem-Stará Boleslav,Praha-východ,Středočeský kraj,"POLYGON((-739708.82 -1032260.58,-739708.82 -1028592.17,-735420.74 -1028592.17,-735420.74 -1032260.58,-739708.82 -1032260.58))"
586862,Batelov,Jihlava,Jihlava,Kraj Vysočina,"POLYGON((-689454.33 -1144886.15,-689454.33 -1134425.04,-680886.82 -1134425.04,-680886.82 -1144886.15,-689454.33 -1144886.15))"
579041,Batňovice,Trutnov,Trutnov,Královéhradecký kraj,"POLYGON((-624383.26 -1011241.96,-624383.26 -1008520.14,-620721.97 -1008520.14,-620721.97 -1011241.96,-624383.26 -1011241.96))"
550809,Bavorov,Vodňany,Strakonice,Jihočeský kraj,"POLYGON((-786875.58 -1149916.61,-786875.58 -1141463.31,-778558.6 -1141463.31,-778558.6 -1149916.61,-786875.58 -1149916.61))"
584304,Bavory,Mikulov,Břeclav,Jihomoravský kraj,"POLYGON((-603520.26 -1202080.25,-603520.26 -1200065.76,-600388.62 -1200065.76,-600388.62 -1202080.25,-603520.26 -1202080.25))"
534421,Bavoryně,Beroun,Beroun,Středočeský kraj,"POLYGON((-780436.78 -1060489.67,-780436.78 -1058684.26,-777718.43 -1058684.26,-777718.43 -1060489.67,-780436.78 -1060489.67))"
566756,Bdeněves,Nýřany,Plzeň-sever,Plzeňský kraj,"POLYGON((-834725.83 -1067275.29,-834725.83 -1065075.48,-831471.26 -1065075.48,-831471.26 -1067275.29,-834725.83 -1067275.29))"
565423,Bdín,Rakovník,Rakovník,Středočeský kraj,"POLYGON((-781724.75 -1024329.51,-781724.75 -1022206.62,-779845.66 -1022206.62,-779845.66 -1024329.51,-781724.75 -1024329.51))"
572675,Běchary,Jičín,Jičín,Královéhradecký kraj,"POLYGON((-679949.97 -1029071.65,-679949.97 -1025102.33,-676251.38 -1025102.33,-676251.38 -1029071.65,-679949.97 -1029071.65))"
564575,Bechlín,Roudnice nad Labem,Litoměřice,Ústecký kraj,"POLYGON((-745797.58 -1007677.57,-745797.58 -1002213.83,-740979.74 -1002213.83,-740979.74 -1007677.57,-745797.58 -1007677.57))"
552054,Bechyně,Tábor,Tábor,Jihočeský kraj,"POLYGON((-756074.41 -1133925.12,-756074.41 -1126233.95,-748684.67 -1126233.95,-748684.67 -1133925.12,-756074.41 -1133925.12))"
563366,Bečice,Tábor,Tábor,Jihočeský kraj,"POLYGON((-745673.66 -1123828.22,-745673.66 -1121477.92,-742994.59 -1121477.92,-742994.59 -1123828.22,-745673.66 -1123828.22))"
536156,Bečice,Týn nad Vltavou,České Budějovice,Jihočeský kraj,"POLYGON((-750928.99 -1140668,-750928.99 -1137906.59,-748070.84 -1137906.59,-748070.84 -1140668,-750928.99 -1140668))"
567043,Bečov,Most,Most,Ústecký kraj,"POLYGON((-792135.6 -999792.11,-792135.6 -992163.4,-783807 -992163.4,-783807 -999792.11,-792135.6 -999792.11))"
554995,Bečov nad Teplou,Karlovy Vary,Karlovy Vary,Karlovarský kraj,"POLYGON((-857404.84 -1030018.67,-857404.84 -1021363.96,-851275.2 -1021363.96,-851275.2 -1030018.67,-857404.84 -1030018.67))"
533181,Bečváry,Kolín,Kolín,Středočeský kraj,"POLYGON((-701543.68 -1068275.93,-701543.68 -1062057.2,-695164.09 -1062057.2,-695164.09 -1068275.93,-701543.68 -1068275.93))"
589268,Bedihošť,Prostějov,Prostějov,Olomoucký kraj,"POLYGON((-557301.84 -1139434.95,-557301.84 -1135298.38,-553994.54 -1135298.38,-553994.54 -1139434.95,-557301.84 -1139434.95))"
562548,Bednárec,Jindřichův Hradec,Jindřichův Hradec,Jihočeský kraj,"POLYGON((-709271.83 -1149795.27,-709271.83 -1146584.62,-704702.82 -1146584.62,-704702.82 -1149795.27,-709271.83 -1149795.27))"
561053,Bednáreček,Jindřichův Hradec,Jindřichův Hradec,Jihočeský kraj,"POLYGON((-705893.82 -1148847.49,-705893.82 -1145328.6,-702092.24 -1145328.6,-702092.24 -1148847.49,-705893.82 -1148847.49))"
581313,Bedřichov,Boskovice,Blansko,Jihomoravský kraj,"POLYGON((-607187.25 -1131846.34,-607187.25 -1128010.2,-604230.06 -1128010.2,-604230.06 -1131846.34,-607187.25 -1131846.34))"
563536,Bedřichov,Jablonec nad Nisou,Jablonec nad Nisou,Liberecký kraj,"POLYGON((-683781.48 -973731.85,-683781.48 -966784.72,-675662 -966784.72,-675662 -973731.85,-683781.48 -973731.85))"
541842,Běhařov,Klatovy,Klatovy,Plzeňský kraj,"POLYGON((-845824.18 -1113757.29,-845824.18 -1110581.65,-843832.52 -1110581.65,-843832.52 -1113757.29,-845824.18 -1113757.29))"
593737,Běhařovice,Znojmo,Znojmo,Jihomoravský kraj,"POLYGON((-642230.33 -1181582.89,-642230.33 -1175934.81,-637525.39 -1175934.81,-637525.39 -1181582.89,-642230.33 -1181582.89))"
512974,Bělá,Hlučín,Opava,Moravskoslezský kraj,"POLYGON((-481095.69 -1086645.79,-481095.69 -1084548.01,-477751.04 -1084548.01,-477751.04 -1086645.79,-481095.69 -1086645.79))"
561126,Bělá,Pelhřimov,Pelhřimov,Kraj Vysočina,"POLYGON((-695481.59 -1137518.03,-695481.59 -1135208.49,-692627.77 -1135208.49,-692627.77 -1137518.03,-695481.59 -1137518.03))"
576972,Bělá,Semily,Semily,Liberecký kraj,"POLYGON((-665737.82 -1004459.43,-665737.82 -1000770.14,-662549.99 -1000770.14,-662549.99 -1004459.43,-665737.82 -1004459.43))"
573566,Bělá,Světlá nad Sázavou,Havlíčkův Brod,Kraj Vysočina,"POLYGON((-690878.8 -1089369.54,-690878.8 -1086501.19,-688022.42 -1086501.19,-688022.42 -1089369.54,-690878.8 -1089369.54))"
553441,Bělá nad Radbuzou,Domažlice,Domažlice,Plzeňský kraj,"POLYGON((-883022.38 -1086172.7,-883022.38 -1075631.04,-867922.45 -1075631.04,-867922.45 -1086172.7,-883022.38 -1086172.7))"
572586,Bělá nad Svitavou,Svitavy,Svitavy,Pardubický kraj,"POLYGON((-604246.3 -1112552.55,-604246.3 -1108384.16,-599382.1 -1108384.16,-599382.1 -1112552.55,-604246.3 -1112552.55))"
535443,Bělá pod Bezdězem,Mladá Boleslav,Mladá Boleslav,Středočeský kraj,"POLYGON((-717918.52 -1005402.29,-717918.52 -994423.73,-703250.82 -994423.73,-703250.82 -1005402.29,-717918.52 -1005402.29))"
523917,Bělá pod Pradědem,Jeseník,Jeseník,Olomoucký kraj,"POLYGON((-550881.54 -1064984.68,-550881.54 -1052245.34,-538369.64 -1052245.34,-538369.64 -1064984.68,-550881.54 -1064984.68))"
505391,Bělá u Jevíčka,Moravská Třebová,Svitavy,Pardubický kraj,"POLYGON((-592209.81 -1114253.84,-592209.81 -1109141.51,-588587.04 -1109141.51,-588587.04 -1114253.84,-592209.81 -1114253.84))"
550817,Bělčice,Blatná,Strakonice,Jihočeský kraj,"POLYGON((-795653.24 -1106539.46,-795653.24 -1098634.11,-786026.61 -1098634.11,-786026.61 -1106539.46,-795653.24 -1106539.46))"
535010,Běleč,Kladno,Kladno,Středočeský kraj,"POLYGON((-777948.12 -1044936.14,-777948.12 -1039054.51,-772493.86 -1039054.51,-772493.86 -1044936.14,-777948.12 -1044936.14))"
560448,Běleč,Tábor,Tábor,Jihočeský kraj,"POLYGON((-723600.95 -1108657.14,-723600.95 -1103876.78,-718145.92 -1103876.78,-718145.92 -1108657.14,-723600.95 -1108657.14))"
581321,Běleč,Tišnov,Brno-venkov,Jihomoravský kraj,"POLYGON((-612739.49 -1133165.3,-612739.49 -1130540.03,-610175.16 -1130540.03,-610175.16 -1133165.3,-612739.49 -1133165.3))"
569852,Běleč nad Orlicí,Hradec Králové,Hradec Králové,Královéhradecký kraj,"POLYGON((-635551.84 -1049447.32,-635551.84 -1043543.53,-630114.04 -1043543.53,-630114.04 -1049447.32,-635551.84 -1049447.32))"
500526,Bělkovice-Lašťany,Olomouc,Olomouc,Olomoucký kraj,"POLYGON((-543408.47 -1115576.8,-543408.47 -1108979.38,-538448.54 -1108979.38,-538448.54 -1115576.8,-543408.47 -1115576.8))"
532070,Běloky,Kladno,Kladno,Středočeský kraj,"POLYGON((-759602.68 -1037005.09,-759602.68 -1035627.98,-755816.04 -1035627.98,-755816.04 -1037005.09,-759602.68 -1037005.09))"
512231,Bělotín,Hranice,Přerov,Olomoucký kraj,"POLYGON((-510987.72 -1129438.78,-510987.72 -1120539.62,-504098.42 -1120539.62,-504098.42 -1129438.78,-510987.72 -1129438.78))"
588318,Bělov,Otrokovice,Zlín,Zlínský kraj,"POLYGON((-535895.34 -1165805.14,-535895.34 -1163649.89,-532825.37 -1163649.89,-532825.37 -1165805.14,-535895.34 -1165805.14))"
533190,Bělušice,Kolín,Kolín,Středočeský kraj,"POLYGON((-680697.28 -1055174,-680697.28 -1052318.98,-678221.03 -1052318.98,-678221.03 -1055174,-680697.28 -1055174))"
567051,Bělušice,Most,Most,Ústecký kraj,"POLYGON((-785555.68 -999314.14,-785555.68 -994774.94,-781581.56 -994774.94,-781581.56 -999314.14,-785555.68 -999314.14))"
569861,Benátky,Hradec Králové,Hradec Králové,Královéhradecký kraj,"POLYGON((-647714.84 -1031778.92,-647714.84 -1029077.24,-645358.78 -1029077.24,-645358.78 -1031778.92,-647714.84 -1031778.92))"
577774,Benátky,Litomyšl,Svitavy,Pardubický kraj,"POLYGON((-611513.07 -1086814.72,-611513.07 -1084778.85,-608044.23 -1084778.85,-608044.23 -1086814.72,-611513.07 -1086814.72))"
535451,Benátky nad Jizerou,Mladá Boleslav,Mladá Boleslav,Středočeský kraj,"POLYGON((-714252.22 -1028770.84,-714252.22 -1021182.41,-705498.73 -1021182.41,-705498.73 -1028770.84,-714252.22 -1028770.84))"
576981,Benecko,Jilemnice,Semily,Liberecký kraj,"POLYGON((-658068.77 -993462.18,-658068.77 -988034.21,-652706.31 -988034.21,-652706.31 -993462.18,-658068.77 -993462.18))"
529303,Benešov,Benešov,Benešov,Středočeský kraj,"POLYGON((-733393.31 -1082822.07,-733393.31 -1073875.33,-722299.18 -1073875.33,-722299.18 -1082822.07,-733393.31 -1082822.07))"
581330,Benešov,Boskovice,Blansko,Jihomoravský kraj,"POLYGON((-584579.55 -1129140.31,-584579.55 -1123534.44,-577940.6 -1123534.44,-577940.6 -1129140.31,-584579.55 -1129140.31))"
560723,Benešovice,Stříbro,Tachov,Plzeňský kraj,"POLYGON((-859250.04 -1069682.76,-859250.04 -1063393,-854804.84 -1063393,-854804.84 -1069682.76,-859250.04 -1069682.76))"
545406,Benešov nad Černou,Kaplice,Český Krumlov,Jihočeský kraj,"POLYGON((-754088.62 -1200890.64,-754088.62 -1188702.78,-742551.88 -1188702.78,-742551.88 -1200890.64,-754088.62 -1200890.64))"
562351,Benešov nad Ploučnicí,Děčín,Děčín,Ústecký kraj,"POLYGON((-743414.5 -971879.78,-743414.5 -966982.94,-739238.06 -966982.94,-739238.06 -971879.78,-743414.5 -971879.78))"
576999,Benešov u Semil,Semily,Semily,Liberecký kraj,"POLYGON((-669439.21 -995853.79,-669439.21 -992517.16,-666495.41 -992517.16,-666495.41 -995853.79,-669439.21 -995853.79))"
590304,Benetice,Třebíč,Třebíč,Kraj Vysočina,"POLYGON((-652317.49 -1144814.09,-652317.49 -1141877.83,-649320.37 -1141877.83,-649320.37 -1144814.09,-652317.49 -1144814.09))"
512281,Beňov,Přerov,Přerov,Olomoucký kraj,"POLYGON((-532247.95 -1144826.57,-532247.95 -1140453.56,-529242.52 -1140453.56,-529242.52 -1144826.57,-532247.95 -1144826.57))"
531111,Bernardov,Kutná Hora,Kutná Hora,Středočeský kraj,"POLYGON((-676465.3 -1061217.53,-676465.3 -1058939.76,-672110.13 -1058939.76,-672110.13 -1061217.53,-676465.3 -1061217.53))"
524891,Bernartice,Jeseník,Jeseník,Olomoucký kraj,"POLYGON((-553696.21 -1036962.67,-553696.21 -1030060.75,-546102.91 -1030060.75,-546102.91 -1036962.67,-553696.21 -1036962.67))"
549266,Bernartice,Milevsko,Písek,Jihočeský kraj,"POLYGON((-760605.14 -1126222.73,-760605.14 -1118739.64,-750810.28 -1118739.64,-750810.28 -1126222.73,-760605.14 -1126222.73))"
579050,Bernartice,Trutnov,Trutnov,Královéhradecký kraj,"POLYGON((-629652.18 -998862.42,-629652.18 -993004.78,-622235.42 -993004.78,-622235.42 -998862.42,-629652.18 -998862.42))"
532568,Bernartice,Vlašim,Benešov,Středočeský kraj,"POLYGON((-700445.81 -1096534.95,-700445.81 -1090981.63,-696902.99 -1090981.63,-696902.99 -1096534.95,-700445.81 -1096534.95))"
568481,Bernartice nad Odrou,Nový Jičín,Nový Jičín,Moravskoslezský kraj,"POLYGON((-498321.26 -1126904.58,-498321.26 -1121183.95,-494970.8 -1121183.95,-494970.8 -1126904.58,-498321.26 -1126904.58))"
531057,Beroun,Beroun,Beroun,Středočeský kraj,"POLYGON((-772778.8 -1056485.94,-772778.8 -1048939.23,-764711.58 -1048939.23,-764711.58 -1056485.94,-772778.8 -1056485.94))"
532088,Beřovice,Slaný,Kladno,Středočeský kraj,"POLYGON((-764078.95 -1021753.78,-764078.95 -1019039.51,-759681.82 -1019039.51,-759681.82 -1021753.78,-764078.95 -1021753.78))"
537021,Běrunice,Poděbrady,Nymburk,Středočeský kraj,"POLYGON((-679192.53 -1043663.84,-679192.53 -1036705.71,-671533.82 -1036705.71,-671533.82 -1043663.84,-679192.53 -1043663.84))"
545414,Besednice,Kaplice,Český Krumlov,Jihočeský kraj,"POLYGON((-755890.43 -1189920.45,-755890.43 -1185071.91,-749826.53 -1185071.91,-749826.53 -1189920.45,-755890.43 -1189920.45))"
555797,Běšiny,Klatovy,Klatovy,Plzeňský kraj,"POLYGON((-836694.89 -1121849.44,-836694.89 -1115813.6,-832253.33 -1115813.6,-832253.33 -1121849.44,-836694.89 -1121849.44))"
531073,Běštín,Hořovice,Beroun,Středočeský kraj,"POLYGON((-776776.7 -1071796.15,-776776.7 -1068953.26,-774427.11 -1068953.26,-774427.11 -1071796.15,-776776.7 -1071796.15))"
553760,Běstovice,Vysoké Mýto,Ústí nad Orlicí,Pardubický kraj,"POLYGON((-618373.5 -1067755.49,-618373.5 -1064895.3,-615078.24 -1064895.3,-615078.24 -1067755.49,-618373.5 -1067755.49))"
571181,Běstvina,Chrudim,Chrudim,Pardubický kraj,"POLYGON((-665760.41 -1084716.71,-665760.41 -1080263.13,-659844.06 -1080263.13,-659844.06 -1084716.71,-665760.41 -1084716.71))"
574309,Bezděčí u Trnávky,Moravská Třebová,Svitavy,Pardubický kraj,"POLYGON((-582645.4 -1108252.51,-582645.4 -1104755.21,-579320.69 -1104755.21,-579320.69 -1108252.51,-582645.4 -1108252.51))"
598895,Bezdědovice,Blatná,Strakonice,Jihočeský kraj,"POLYGON((-792173.87 -1109464.5,-792173.87 -1106230.5,-789320.79 -1106230.5,-789320.79 -1109464.5,-792173.87 -1109464.5))"
548430,Bezděkov,Chotěboř,Havlíčkův Brod,Kraj Vysočina,"POLYGON((-655945.63 -1096054.01,-655945.63 -1093000.89,-652808.89 -1093000.89,-652808.89 -1096054.01,-655945.63 -1096054.01))"
555801,Bezděkov,Klatovy,Klatovy,Plzeňský kraj,"POLYGON((-843179 -1109969.56,-843179 -1104825.88,-836925.7 -1104825.88,-836925.7 -1109969.56,-843179 -1109969.56))"
574741,Bezděkov,Pardubice,Pardubice,Pardubický kraj,"POLYGON((-658023.44 -1064998.62,-658023.44 -1061212.5,-654892.6 -1061212.5,-654892.6 -1064998.62,-658023.44 -1064998.62))"
541095,Bezděkov,Rokycany,Rokycany,Plzeňský kraj,"POLYGON((-806745.07 -1064279.63,-806745.07 -1062908.2,-804748.68 -1062908.2,-804748.68 -1064279.63,-806745.07 -1064279.63))"
573884,Bezděkov nad Metují,Náchod,Náchod,Královéhradecký kraj,"POLYGON((-610608.57 -1014633.76,-610608.57 -1010879.9,-608212.84 -1010879.9,-608212.84 -1014633.76,-610608.57 -1014633.76))"
529672,Bezděkov pod Třemšínem,Příbram,Příbram,Středočeský kraj,"POLYGON((-791072 -1094695.62,-791072 -1092743.9,-787803.76 -1092743.9,-787803.76 -1094695.62,-791072 -1094695.62))"
561398,Bezděz,Česká Lípa,Česká Lípa,Liberecký kraj,"POLYGON((-718062.47 -998904.33,-718062.47 -992641.83,-712331.75 -992641.83,-712331.75 -998904.33,-718062.47 -998904.33))"
560740,Bezdružice,Stříbro,Tachov,Plzeňský kraj,"POLYGON((-854972.7 -1049869.39,-854972.7 -1043733.29,-845394.63 -1043733.29,-845394.63 -1049869.39,-854972.7 -1049869.39))"
