KOD;NAZEV;ZKRACENY_NAZEV;POPIS
1;Vojenský újezd;Vojenský újezd;Vojenský újezd
2;Obec;Obec;Obec
3;Mìsto;Mìsto;Mìsto
4;Statutární mìsto;Statutární mìsto;Statutární mìsto
5;Hlavní mìsto;Hlavní mìsto;Hlavní mìsto
6;Mìstys;Mìstys;Mìstys
